PYROEXPORT HEADER
RootFile,/Users/hperrey/TaggedNeutrons/Data/Data642.root
HistTitle,TDC c1_5_0
XAxis,
YAxis,
NBins,2048
DATA
lower bin edge,bin content,bin error
204.0,1.0,1.0
205.0,3.0,1.7320508075688772
206.0,2.0,1.4142135623730951
207.0,1.0,1.0
208.0,1.0,1.0
209.0,0.0,0.0
210.0,1.0,1.0
211.0,2.0,1.4142135623730951
212.0,1.0,1.0
213.0,5.0,2.23606797749979
214.0,4.0,2.0
215.0,1.0,1.0
216.0,1.0,1.0
217.0,2.0,1.4142135623730951
218.0,2.0,1.4142135623730951
219.0,2.0,1.4142135623730951
220.0,4.0,2.0
221.0,2.0,1.4142135623730951
222.0,4.0,2.0
223.0,3.0,1.7320508075688772
224.0,1.0,1.0
225.0,2.0,1.4142135623730951
226.0,1.0,1.0
227.0,3.0,1.7320508075688772
228.0,1.0,1.0
229.0,2.0,1.4142135623730951
230.0,5.0,2.23606797749979
231.0,6.0,2.449489742783178
232.0,1.0,1.0
233.0,3.0,1.7320508075688772
234.0,4.0,2.0
235.0,5.0,2.23606797749979
236.0,0.0,0.0
237.0,2.0,1.4142135623730951
238.0,1.0,1.0
239.0,2.0,1.4142135623730951
240.0,0.0,0.0
241.0,2.0,1.4142135623730951
242.0,2.0,1.4142135623730951
243.0,5.0,2.23606797749979
244.0,1.0,1.0
245.0,2.0,1.4142135623730951
246.0,3.0,1.7320508075688772
247.0,1.0,1.0
248.0,2.0,1.4142135623730951
249.0,5.0,2.23606797749979
250.0,3.0,1.7320508075688772
251.0,2.0,1.4142135623730951
252.0,1.0,1.0
253.0,3.0,1.7320508075688772
254.0,1.0,1.0
255.0,4.0,2.0
256.0,2.0,1.4142135623730951
257.0,0.0,0.0
258.0,1.0,1.0
259.0,4.0,2.0
260.0,0.0,0.0
261.0,2.0,1.4142135623730951
262.0,3.0,1.7320508075688772
263.0,4.0,2.0
264.0,3.0,1.7320508075688772
265.0,1.0,1.0
266.0,0.0,0.0
267.0,2.0,1.4142135623730951
268.0,3.0,1.7320508075688772
269.0,2.0,1.4142135623730951
270.0,3.0,1.7320508075688772
271.0,5.0,2.23606797749979
272.0,1.0,1.0
273.0,2.0,1.4142135623730951
274.0,2.0,1.4142135623730951
275.0,2.0,1.4142135623730951
276.0,1.0,1.0
277.0,1.0,1.0
278.0,1.0,1.0
279.0,0.0,0.0
280.0,6.0,2.449489742783178
281.0,2.0,1.4142135623730951
282.0,3.0,1.7320508075688772
283.0,2.0,1.4142135623730951
284.0,1.0,1.0
285.0,0.0,0.0
286.0,0.0,0.0
287.0,1.0,1.0
288.0,2.0,1.4142135623730951
289.0,0.0,0.0
290.0,2.0,1.4142135623730951
291.0,3.0,1.7320508075688772
292.0,2.0,1.4142135623730951
293.0,2.0,1.4142135623730951
294.0,0.0,0.0
295.0,0.0,0.0
296.0,3.0,1.7320508075688772
297.0,3.0,1.7320508075688772
298.0,3.0,1.7320508075688772
299.0,1.0,1.0
300.0,3.0,1.7320508075688772
301.0,1.0,1.0
302.0,2.0,1.4142135623730951
303.0,3.0,1.7320508075688772
304.0,4.0,2.0
305.0,1.0,1.0
306.0,0.0,0.0
307.0,2.0,1.4142135623730951
308.0,0.0,0.0
309.0,3.0,1.7320508075688772
310.0,2.0,1.4142135623730951
311.0,1.0,1.0
312.0,1.0,1.0
313.0,3.0,1.7320508075688772
314.0,2.0,1.4142135623730951
315.0,7.0,2.6457513110645907
316.0,2.0,1.4142135623730951
317.0,3.0,1.7320508075688772
318.0,0.0,0.0
319.0,1.0,1.0
320.0,0.0,0.0
321.0,4.0,2.0
322.0,2.0,1.4142135623730951
323.0,4.0,2.0
324.0,2.0,1.4142135623730951
325.0,6.0,2.449489742783178
326.0,1.0,1.0
327.0,1.0,1.0
328.0,3.0,1.7320508075688772
329.0,3.0,1.7320508075688772
330.0,2.0,1.4142135623730951
331.0,1.0,1.0
332.0,1.0,1.0
333.0,1.0,1.0
334.0,2.0,1.4142135623730951
335.0,3.0,1.7320508075688772
336.0,2.0,1.4142135623730951
337.0,0.0,0.0
338.0,2.0,1.4142135623730951
339.0,3.0,1.7320508075688772
340.0,2.0,1.4142135623730951
341.0,2.0,1.4142135623730951
342.0,0.0,0.0
343.0,1.0,1.0
344.0,0.0,0.0
